"nodo","degree_in","degree_out","degree_total","betweenness","closeness_out","eigenvector","pagerank"
"Renta_Vitalicia",7,23,30,0.023,0.533,0.004,0.011
"RT_RVD",13,12,25,0.023,0.731,0.025,0.019
"Beneficiarios_Legales",7,14,21,0.02,0.535,0.011,0.01
"AFP",4,21,25,0.017,0.571,0,0.011
"Que_es_pension",2,41,43,0.017,0.707,0,0.012
"Retiro_Programado",7,18,25,0.016,0.49,0.004,0.011
"Certificado_Oferta",5,6,11,0.014,0.667,0.016,0.012
"Saldo_Cuenta_Individual",3,21,24,0.011,0.551,0,0.01
"Riesgo_Longevidad",1,10,11,0.011,0.405,0.005,0.008
"Certificado_de_Saldo",5,7,12,0.01,0.425,0,0.011
"Solicitud_Ofertas",4,4,8,0.009,0.545,0.009,0.01
"Comisiones_AFP",6,6,12,0.009,1,0.036,0.012
"Acepta_Rechazo_Oferta",3,5,8,0.007,0.857,0.02,0.011
"Remate",7,2,9,0.007,1,0.058,0.012
"Definicion_SCOMP",5,7,12,0.007,0.5,0,0.01
"Comisiones_Aseguradoras",6,6,12,0.006,1,0.028,0.01
"Herencia",9,3,12,0.006,0.8,0.046,0.012
"Compania_Seguros",2,15,17,0.005,0.5,0,0.008
"Declaracion_Beneficiarios",3,2,5,0.005,0.667,0.014,0.008
"Expectativa_Vida",3,4,7,0.005,0.304,0.006,0.008
"Pension_Sobrevivencia",4,13,17,0.004,0.488,0.006,0.008
"RVI_RP",8,11,19,0.004,0.72,0.006,0.01
"Inicio_Pagos",6,1,7,0.003,1,0.016,0.011
"Condiciones_Especiales_RV",6,9,15,0.003,0.8,0.021,0.009
"Formulario_Solicitud_Pension",4,1,5,0.003,1,0.011,0.011
"ELD",3,4,7,0.003,1,0,0.008
"Requisitos_RV",5,3,8,0.002,0.455,0.003,0.01
"Requisitos_RP",4,3,7,0.002,0.455,0.003,0.009
"Calculo_Renta_Vitalicia",11,4,15,0.002,1,0.128,0.026
"Calculo_Rentas_Combinadas",16,3,19,0.002,1,0.311,0.04
"Impacto_Comisiones",4,3,7,0.002,0.8,0.091,0.02
"Pension_Autofinanciada",2,6,8,0.001,0.408,0,0.007
"Comparacion_modalidades",26,1,27,0.001,1,0.663,0.067
"Modalidades_Pensiones",1,16,17,0.001,0.529,0,0.007
"Calculo_Retiro_Programado",7,4,11,0.001,1,0.028,0.014
"Asesores_Prev",4,1,5,0.001,0.5,0.051,0.011
"Errores_Formularios",3,1,4,0.001,1,0.018,0.014
"Proceso_Solicitud",2,4,6,0,0.457,0,0.007
"Periodo_Diferimiento",8,3,11,0,0.8,0.043,0.011
"Quien_Recibe_Herencia",4,1,5,0,1,0.05,0.011
"Tasa_Interes_Tecnica_RP",3,3,6,0,0.714,0.007,0.008
"Requisitos_RT_RVD",3,2,5,0,1,0.02,0.009
"Periodo_Garantizado",6,2,8,0,0.625,0.038,0.01
"Clausula_Incremento_Sobrevivencia",6,2,8,0,0.625,0.038,0.01
"Aumento_Temporal",4,2,6,0,0.625,0.024,0.009
"Definicion_APV",1,2,3,0,0.311,0,0.007
"Diferencia_AFP_CSV",4,3,7,0,0.455,0,0.008
"Tasa_Interes_RV",2,3,5,0,0.714,0.007,0.008
"Jubilación",0,1,1,0,0.418,0,0.007
"Rentabilidad",0,2,2,0,0.412,0,0.007
"Entidades_Reguladoras",2,0,2,0,NA,0,0.007
"Cotizaciones_Previsionales",0,14,14,0,0.536,0,0.007
"Inicio_Proceso_AFP",2,0,2,0,NA,0,0.007
"Opciones_Post_Oferta",3,0,3,0,NA,0.062,0.015
"Evaluacion_Ofertas",16,0,16,0,NA,0.595,0.047
"Formulario_Seleccion_Modalidad",4,1,5,0,1,0.029,0.011
"Materializacion_Eleccion",6,0,6,0,NA,0.052,0.02
"Causas_Finalizacion_Proceso",3,0,3,0,NA,0.062,0.015
"Traslado_Fondos",5,0,5,0,NA,0.013,0.018
"Demora_Certificados",5,0,5,0,NA,0.027,0.023
"Riesgo_Rentabilidad",0,3,3,0,0.382,0,0.007
"Cambio_Modalidad",21,0,21,0,NA,1,0.105
"Requisitos_RVI_RP",4,0,4,0,NA,0.011,0.008
"Ejemplo_Calculo_Pension_Sobrevivencia",7,0,7,0,NA,0.046,0.011
"Como_Calcular_Herencia",3,0,3,0,NA,0.076,0.02
"Movilidad_Fondos_APV_Pension",4,0,4,0,NA,0,0.011
"Calculo_ELD",3,0,3,0,NA,0.009,0.018
"Tratamiento_Tributario_ELD",1,0,1,0,NA,0,0.008
"Impacto_Pension_ELD",2,0,2,0,NA,0,0.009
"Procedimiento_Retiro_ELD",6,0,6,0,NA,0.032,0.011
"Falta_Claridad_Comisiones",3,0,3,0,NA,0.123,0.015
