"nodo","degree_in","degree_out","degree_total","betweenness","closeness_out","eigenvector","pagerank"
"RT_RVD",4,8,12,0.066,0.528,0.392,0.044
"Solicitud_Ofertas",3,3,6,0.039,0.367,0,0.019
"AFP",3,5,8,0.03,0.302,0,0.018
"Diferencia_AFP_CSV",2,1,3,0.025,0.357,0,0.011
"Certificado_Oferta",1,4,5,0.024,0.556,0,0.011
"Definicion_SCOMP",3,2,5,0.022,0.29,0,0.018
"Certificado_de_Saldo",2,3,5,0.021,0.307,0,0.012
"Compania_Seguros",2,4,6,0.018,0.289,0,0.013
"Acepta_Rechazo_Oferta",1,4,5,0.015,0.75,0,0.008
"Que_es_pension",2,2,4,0.014,0.206,0,0.012
"Requisitos_RV",2,1,3,0.014,0.357,0.247,0.016
"Requisitos_RP",2,1,3,0.014,0.357,0.247,0.015
"Asesores_Prev",2,1,3,0.014,0.5,0.493,0.028
"Herencia",2,2,4,0.014,0.667,0.311,0.011
"Modalidades_Pensiones",1,3,4,0.013,0.249,0,0.011
"Comisiones_AFP",3,1,4,0.012,0.375,0.311,0.016
"Pension_Autofinanciada",1,2,3,0.011,0.245,0,0.011
"Remate",4,2,6,0.01,1,0.311,0.014
"Renta_Vitalicia",2,2,4,0.01,0.287,0.311,0.017
"Saldo_Cuenta_Individual",1,2,3,0.009,0.261,0,0.008
"Impacto_Comisiones",1,3,4,0.009,0.8,0.392,0.029
"Comparacion_modalidades",4,1,5,0.008,1,1,0.048
"Calculo_Rentas_Combinadas",4,2,6,0.008,0.75,0.247,0.049
"Beneficiarios_Legales",1,5,6,0.008,0.38,0,0.01
"Riesgo_Longevidad",1,2,3,0.007,0.24,0.392,0.022
"Definicion_APV",1,2,3,0.007,0.246,0,0.008
"Periodo_Diferimiento",2,1,3,0.006,0.5,0.311,0.011
"ELD",1,4,5,0.006,1,0,0.009
"Retiro_Programado",1,2,3,0.005,0.287,0.311,0.015
"Quien_Recibe_Herencia",1,1,2,0.005,1,0.247,0.01
"Comisiones_Aseguradoras",2,1,3,0.005,0.375,0.311,0.011
"Requisitos_RT_RVD",1,1,2,0.004,0.667,0.311,0.01
"Expectativa_Vida",2,1,3,0.004,0.197,0.493,0.019
"Formulario_Seleccion_Modalidad",1,1,2,0.004,1,0,0.007
"Inicio_Pagos",1,1,2,0.004,1,0,0.007
"Calculo_Renta_Vitalicia",4,1,5,0.003,0.5,0,0.027
"Condiciones_Especiales_RV",1,5,6,0.002,0.522,0,0.007
"Proceso_Solicitud",1,1,2,0.002,0.233,0,0.009
"Errores_Formularios",2,1,3,0.002,1,0,0.014
"Calculo_Retiro_Programado",2,1,3,0.002,0.5,0,0.012
"Declaracion_Beneficiarios",1,2,3,0.001,0.667,0,0.007
"Formulario_Solicitud_Pension",1,1,2,0.001,1,0,0.009
"Periodo_Garantizado",1,1,2,0,0.385,0,0.007
"Clausula_Incremento_Sobrevivencia",1,1,2,0,0.385,0,0.007
"Aumento_Temporal",1,1,2,0,0.385,0,0.007
"Jubilación",0,1,1,0,0.173,0,0.005
"Rentabilidad",0,1,1,0,0.236,0,0.005
"Entidades_Reguladoras",2,0,2,0,NA,0,0.011
"Cotizaciones_Previsionales",0,2,2,0,0.215,0,0.005
"Inicio_Proceso_AFP",1,0,1,0,NA,0,0.008
"Opciones_Post_Oferta",2,0,2,0,NA,0.247,0.013
"Evaluacion_Ofertas",3,0,3,0,NA,0.507,0.037
"Materializacion_Eleccion",1,0,1,0,NA,0,0.011
"Causas_Finalizacion_Proceso",2,0,2,0,NA,0.247,0.013
"Traslado_Fondos",1,0,1,0,NA,0,0.011
"Demora_Certificados",2,0,2,0,NA,0,0.019
"Riesgo_Rentabilidad",0,0,0,0,NA,0,0.005
"Tasa_Interes_Tecnica_RP",0,1,1,0,0.385,0,0.005
"Tasa_Interes_RV",0,1,1,0,0.385,0,0.005
"Cambio_Modalidad",1,0,1,0,NA,0.794,0.046
"RVI_RP",0,8,8,0,0.545,0,0.005
"Requisitos_RVI_RP",1,0,1,0,NA,0,0.006
"Pension_Sobrevivencia",0,1,1,0,0.281,0,0.005
"Ejemplo_Calculo_Pension_Sobrevivencia",2,0,2,0,NA,0.311,0.011
"Como_Calcular_Herencia",1,0,1,0,NA,0.196,0.014
"Movilidad_Fondos_APV_Pension",2,0,2,0,NA,0,0.017
"Calculo_ELD",2,0,2,0,NA,0,0.015
"Tratamiento_Tributario_ELD",1,0,1,0,NA,0,0.007
"Impacto_Pension_ELD",1,0,1,0,NA,0,0.007
"Procedimiento_Retiro_ELD",3,0,3,0,NA,0.311,0.013
"Falta_Claridad_Comisiones",1,0,1,0,NA,0.311,0.014
